English Word,Persian Word
rise to run ratio,نسبت پرش به دوش
riser,تغذیه کننده ، بالا برنده 
risk,مخاطره ، بیم ، به خطر انداختن ، خطر ، احتمال خسارت ، احتمال زیان ، ری ... 
risk analysis,تحلیل مخاطره
Risk attitude,نگرش ریسک
risk avoider,ریسک ناپذیر ، محافظه کار ، ریسک ناطلب 
risk free rate,نرخ بهره ی بدون ریسک
risk function,تابع خطر ، تابع مخاطره 
risk of error,مخاطره ی اشتباه
risk premium,حق مقابله با خطر ، صرف ریسک 
risk ratio,نسبت ریسک
Risk seeking,ریسک طلب
risk theory,نظریه مخاطره ، نظریه ی مخاطره 
risktaker,ریسک پذیر
ritz method,روش ریتس
rivalry,رقابت
riveting,پرچکاری
robbins-monro procedure,شیوه رابینز-مونرو
robot,آدم مصنوعی ، آدم مکانیکی ، آدم آهنی ، آدم ماشینی ، ربوت ، دستگاه خودک ... 
robust,نیرومند ، ‌قوی 
robust distance,فاصله استوار
robust estimation,برآورد استوار
robust estimation of multivariate location and scatter,برآورد استوار مکان و پراکنش چندمتغیّره
robust inspection sampling plan,طرح نمونه‌گیری استوار برای بازرسی
robust optimization,بهینه سازی استوار
robust regression,رگرسیون استوار
robust smoothing,هموارسازی استوار
robust substitute,جانشین استوار
robust test,آزمون استوار
robust test for change-point model,آزمون استوار برای مدل نقطه تغییر
robustification,استوارسازی
robustness,استواری
robustness in experimental design,استواری در طرح آزمایش
robust-resistant line,خط استوار-مقاوم
rocket,موشک
rocket launching problem,مسأله ی تغذیه ی موشک ، مسأله ی تغذیه ی راکت 
rockwell hardness test,ضریب سختی راکول ، آزمایش راکول ، آزمایش سختی راکول 
rod,میل ، شاخص ، مفتول ، میله ، میله ی مدرج ، میل گرد 
rodrigues' formula,فرمول رودریگز
rodrigues's formula,فرمول رودریگز
role playing,نقش بازی کردن ، آزمایش و تمرین ، ایفای نقش 
roll,نورد کردن ، غلتک ، نورد ، ‌غلتک کاری کردن ، نورد کاری ، ‌نوردیدن 
roll barrel,استوانه ی غلتک
roll bearing,یاتاقان غلتکی
roll conveyor,نقاله ی قرقره ای ، ‌نقاله ی غلتکی 
rolle theorem,قضیه ی رول
rolle's theorem,قضیه ی رُل ، قضیه ی رل 
rolling,غلتان ، نورد کاری ، غلتک کاری ، ‌ نورد ، ‌عملیات نورد ، غلتزنی ، ‌ غل ... 
rolling body,جسم غلتان
rolling mill,دستگاه نورد ، ماشین نورد ، نورد ورق ، کارخانه ی نورد ، کارگاه نورد 
rolling motion,حرکت غلتشی
countable set,مجموعه ی شمارا ، مجموعه ی شمارش پذیر مجموعه ای که تعداد اعضای آن قابل ... 
countable simplicial complex,مجتمع سادکی شمارا
countable subadditivity,زیر جمعی شمارا ، زیر جمعی شمارش پذیر 
countable union,اجتماع شمارش پذیر
countably,به طور شمارا ، به طور شمارش پذیر ، شمارا 
countably additive,جمع پذیر شمارش پذیر ، شمارا اضافی 
countably additive class,رده ی شمارا ، جمعی 
countably additive measure,سنج شمارا اضافی
countably compact space,فضای شمارا-فشرده
countably equivalent sets,مجموعه های شمارا هم ارز
countably infinite,نامتناهی شمارش پذیر ، شمارای بی پایان ، نامتناهی-شمارا 
countably infinite set,مجموعه ی نامتناهی شمارش پذیر ، مجموعه ی نامتناهی-شمارا ، مجموعه ی شما ... 
counter,شمارنده ، شمارش‌گر ، شمارگر 
counter clockwise,در خلاف جهت عقربه ی ساعت ، پاد ساعتگرد ، خلاف گردش عقربه های ساعت ، ب ... 
counter example,مثال نقض ، مثالی که نادرستی یک گزاره را نشان می دهد 
counter marketing,بازاریابی در جهت عکس
counter sink,خزینه ی مخروطی ، خزینه سازی ، مته ی خزینه زاویه دار ، خزینه ساز مخروطی 
counter sunk rivet,پرچ سر صاف
counterbalance,موازنه
counterclockwise,در خلاف جهت حرکت عقربه های ساعت ، جهت خلاف عقربه های ساعت ، جهت مثبت  ... 
counterclockwise rotation,دوران پاد ساعتگرد
counterdomain,حوزه ی عکس ، پاد میدان 
counterexample,مثال نقض ، مثال خُلف ، مثال ناقض ، تمثیل وارونه ، ضد مثال ، مثال خلف 
counterimage,تصویر عکس ، پیش تصویر 
counterpart,معادل ، هماورد ، نقطه ی مقابل 
counterweight,متعادل ، متعادل کردن ؛ سربار ، سربار ، متعادل کردن ، وزنه ی تعادل 
counting,شمردن ، شمارنده(عدد) ، شمارش ، شمارنده ، در نظر گرفتن 
counting measure,اندازه ی شمارشی
counting number,عدد شمارنده ، عدد شمارشی 
counting numbers,اعداد شمارشی
counting principle,اصل شمارش
counting process,فرآیند شمارشی ، فرایند شمارشی 
counting system,دستگاه شمار
counting techniques,فنون شمارش
couple,جُفت ، زوج ، زوج نیرو ، کوپل ، دو ، بستگی ، پیوند ، جفت کردن ، جفت نی ... 
coupled,جفت شده ، وصل کردن 
coupled vectors,بُردارهای زوج ، بردار های زوج 
coupling,جفت ساز ، پیوست ، جفت شدگی ، همبندی ، بوشن ، اتصال 
coupon collecting,جمع آوری کوپن ، جمع آوری کالابرگ 
course,درس ، دوره 
course period,مدت دوره
course sequence,توالی دوره
court scheduling problem,مسأله ی زمان بندی دادگاه
covalence,هم ظرفیتی
covariance,کوواریانس(آمار) ، هم‌پراش ، هم‌گردی ، هم‌پراشی ، هم‌گردایی ، هم‌وردی  ... 
covariance function,تابع کوواریانس ، تابع هم پراش 
covariance matrix,ماتریس کوواریانس ، ماتریس هم پراش ، ماتریس پراکندگی 
covariance matrix of multidimensional random variable,ماتریس کوواریانس کمیّت تصادفی چندبُعدی ، ماتریس کوواریانس کمیت تصادفی ... 
covariant,کوواریان ، هم ورد ، هم گرد ، هم پراش ، هم گردا ، همورد ، همگرد ، همگر ... 
covariant components,مؤلفه های هموردا
covariant derivation,مشتق گیری هم گرد
covariant derivative,مشتق هموردا
covariant differentiation,دیفرانسیل گیری هم پراش ، دیفرانسیل گیری هم گرد ، مشتق گیری هم پراش ،  ... 
covariant functor,تابعگون هموردا
covariant index,اندیس کوواریان ، اندیس همگرد ، شاخص هموردا 
covariant tensor,تانسور هموردا
covariant vector,بردار هموردا
covariant vector field,میدان برداری هموردا
covariate,متغیّر کمکی ، متغیر تصادفی کمکی 
covector,هم بُردار ، همبردار 
cover,پوشش ، سرپوش ؛ پوشاندن ، پیمودن ، طی کردن 
cover glass,شیشه ی محافظ
cover of a set,پوشش مجموعه
coverage,پوشش ، پوشانش ، 1  پوشش 2  پوشانش ، مبلغ جبرانی ، تحت پوشش ، پوشش دادن 
most powerful,تواناترین ، قوی ترین 
most powerful critical region,تواناترین ناحیه بحرانی ، تواناترین ناحیه ی بحرانی 
most powerful test,تواناترین آزمون
most probable number,محتملترین عدد
most probable number of occurrence of event,محتمل ترین تعداد وقوع حادثه
most probable parameter point,محتمل ترین نقطه ی پارامتری
most probable time,زمان با بیشترین احتمال وقوع ، محتمل ترین زمان 
most probable value,محتملترین مقدار
most stringent test,سختگیرانه‌ترین آزمون
mothball evaporating,تبخیر گلوله ی نفتالین
mother population,جامعه ی مادر
motif,نقش‌مایه
motion,حرکت
motion analysis,تجزیه و تحلیل حرکات
motion and time study,حرکت و زمان سنجی
motion economy,اقتصاد حرکت
motion in a circle,حرکت دورانی ، حرکت روی یک دایره 
motion in a straight line,حرکت مستقیم الخط ، حرکت روی یک خط راست 
motion study,مطالعه ی حرکت ، حرکت سنجی ، بررسی حرکات ، تحرک سنجی 
motivate,انگیختن ، برانگیختن 
motivated by,به دلیلِ
motivation,محرک ، انگیزه ، موجب ، انگیزش 
motive,انگیزه
mount,مونتاژ ، نصب کردن ، نمو کردن ، صعود کردن ، کار گذاشته شدنف متصل شدن ، ... 
mouse,ماوس ، موش ، موشواره 
mouth,دهان ، دهانه 
movable,قابل حرکت ، متحرک 
movable launder,لاوک متحرک
move,جابجائی ، حرکت ، انتقال ، بردن ، حرکت دادن ، نقل مکان کردن 
move back and forth,رفت و برگشت کردن
move into,منتقل کردن به
move round,دور زدن
movement,تغییر مکان ، جنبش ، حرکت 
movement detector,آشکارساز حرکت
mover-stayer model,مدل رفتنی-ماندنی
moving,1  سیّار 2  متحرک ، متحرک (حرکت) 
moving average,میانگین متحرک ، معدل متحرک ، میانگین متحرک / کلمات مرتبط integrated m ... 
Moving least squares approximation,تقریب کمترین مربعات متحرک
moving sum,مجموع متحرک
moving total,جمع متحرک
moving trihedral,سه وجهی متحرک
moving-observer sampling method,روش نمونه‌گیری با مشاهده‌گر سیار
mse,mean squared error میانگین مربع خطا
much,زیاد ، بسیار 
muirhead's theorem,قضیه میوئرهد
multatis mutandis,پس از تصرفات لازم
multi,پیشوندی به معنی چند ، چند 
multi channel queue,صف چند کانالی
multi column chart,نمودار چند ستونی
multi dimensional distribution,قانون توزیع چند بعدی ، قانون توزیع چند متغیره 
multi level continuous sampling plan,طرح نمونه گیری پیوسته ی چندسطحی
multi purpose,چندمنظوری ، چندهدفی ، چندکاره 
multi slide press,پرس چند کشویی
multi stage,چندمرحله ای ، چندطبقه 
multi stage sampling,نمونه برداری چند درجه ای ، نمونه برداری چند مرحله ای ، نمونه گیری چند ... 
multi stage test,آزمون چندمرحله‌ای ، آزمون چند مرحله ای 
multi type,چند گونه
multi valued function,تابع چند ارزشی
multi variable differential calculus,حساب دیفرانسیل چندمتغیره
multi variate distribution,توزیع چند بعدی ، توزیع چند متغیره 
multi variate distribution law,قانون توزیع چندبعدی ، قانون توزیع چند متغیره 
multiarrays,آرایه‌های چندگانه
multi-attribute value,مقدار چندشاخصه
multiblade,چند پره ، چند تیغه 
symmetric neighbourhood,همسایگی متقارن
symmetric points,نقاط قرینه
symmetric polynomial,چندجمله ای متقارن
symmetric property of experiment,خاصیّت قرینگی آزمایش
symmetric quadratic form,صورت درجه ی دوم متقارن
symmetric random walk,قدم زدن تصادفی متقارن
symmetric rational,گویای متقارن
symmetric rational function,تابع گویای متقارن
symmetric relation,نسبت متقارن ، رابطه ی قرینه ، رابطه ی تقارن ، رابطه ی متقارن 
symmetric riemannian space,فضای ریمانی متقارن
symmetric root,ریشه ی متقارن
symmetric simple binary experiments,آزمایش های دوتایی ساده ی متقارن
symmetric space,فضای متقارن
symmetric square matrix,ماتریس مربّع متقارن
symmetric tensor,تانسور متقارن
symmetric transformation,تبدیل متقارن
symmetrical,متقارن ، قرینه ، همال 
symmetrical censoring,سانسور کردن متقارن
symmetrical difference,تفاضل متقارن
symmetrical figures,اشکال متقارن
symmetrical matrix,ماتریس متقارن
symmetrical test,آزمون متقارن
symmetrically,به طور متقارن
symmetrically congruent,متساوی معکوس
symmetrisation,قرینه پذیر کردن ، متقارن شده 
symmetrisation theorem,قضیه ی مقارنت
symmetrised,متقارن شده
symmetrization,متقارن سازی ، قرینه پذیر کردن ، متقارن شدن 
symmetrization theorem,قضیه ی مقارنت
symmetrizer,متقارن ساز
symmetry,تقارن ، قرینه ، تقارنی ، هم اندازگی ، قرینه‌گی ، همالی 
symmetry axis,محور تقارن
symmetry center,مرکز تقارن
symmetry group,گروه تقارن ها
symmetry plane,صفحه ی تقارن
symmetry principle,اصل تقارن
symmetry test,آزمون تقارن
synchonize,هم‌زمان کردن ، هم‌دوره کردن 
synchronic,هم‌زمان ، هم‌دوره ، همزمان 
synchronization,همزمان سازی
synchronize,هم زمان کردن ، همدوره کردن 
synchronous,همگرد ، هماهنگ ، همزمانی ، همزمان ، همگم ، هم سرعت 
synergism,هم‌کُنشی
synonym,مترادف
syntactical,نحوی
syntax,دستوری
syntax error,اشتباه دستوری ، خطای دستوری 
synthesis,ساخت ، ترکیب ، تلفیق ، پیوند ، با هم‌نهاد ، ادغام ، سنتر ، با هم نهاد 
synthesize,ترکیب کردن ، آمیختن 
synthetic,ساختنی ، ترکیبی ، ‌ ترکیبی 
synthetic budget,بودجه ی تلفیقی
synthetic division,تقسیم ترکیبی ، تصمیم ترکیبی 
synthetic division method,روش تقسیم ترکیبی
synthetic elimination,حذف ترکیبی
synthetic estimation,برآورد ترکیبی
synthetic estimator,برآوردگر ترکیبی
synthetic geometry,هندسه‌ی ترکیبی ، هندسه‌ی محض ، هندسه ی ترکیبی 
synthetic judgement,حکم ترکیبی
synthetic method,روش ترکیب
synthetic proof,اثبات ترکیبی
system,دستگاه ، سیستم ، 1  سیستم 2  دستگاه 3  سامانه 4  منظومه 5  نظام ، سیس ... 
system accounting,حسابداری سیستم
system clearing house model,مدل تهاتری سیستم
system discipline,نظم سیستم
gang,دسته ، گروه 
gang chart,نمودار گانت
gang milestone chart,نمودار پایان نمای گانت
gang milling,فرزکاری گروهی
gang punch,منگنه ی گروهی
gantt chart,چارت گانت ، نمودار گانت 
gap,فضای خالی ، شکاف ، فاصله ی بین دو لبه ی خالی ، فاصله ، درز ، رخنه ، ش ... 
gap gauge,شبلون دهان اژدری
gapping,رخنه‌یابی
gart's independence test statistic,آماره آزمون استقلال گارت
gas metal arc,قوس فلزی ، گازی 
gas vent,مجرای عبور گاز
gasket,لایی ، واشر ، لایه ی آب بندی ، قالپاق ، درزگیر ، پولک 
gastwirth's estimator,برآوردگر گست‌ویرث
gate,دریچه ، دروازه ، پای راهگاه ، مدخل ، راه قالب 
gate cutter,شیاربر
gate symbol,نماد دریچه
gateaux derivative,مشتق گاتو
gather,گردآوردن ، گردآمدن 
gather up,جمع آوری کردن
gauge,پیمانه
gauge length,طول نمونه
gauge theory,نظریه پیمانه‌ای ، نظریه ی پیمانه ای 
gauge transformation,تبدیل پیمانه‌ای ، تبدیل پیمانه ای 
gauging,شیارزنی ، شابلون گیری ، اندازه گیری 
gause,کارل فریدریش گاوس (30 آوریل 1777- 23 فوریه 1855) ریاضیدان بزرگ آلمانی ... 
gauss,گاوس - 1717 تا 1855 میلادی ، کارل فریدریش گاوس (30 آوریل 1777- 23 فور ... 
gauss curve,منحنی گاوس
gauss differential equation,معادله ی دیفرانسیل گاوس
gauss error integral,انتگرال خطای گاوس
gauss formulas,قیاس های دلامبر ، فرمول های گاوس 
gauss hypergeometric differential equation,معادله ی دیفرانسیل فوق هندسی گوس
gauss integral,انتگرال گاوس
gauss interpolation formula,فرمول درونیابی گاوس
gauss jordan process,فرایند گاوس-ژوردان
gauss jordan reduction,تقلیل گاوس- جردن ، کاهش گاوس-جردن 
gauss method,روش گاوس
gauss quadrature,مربع‌بندی گاوس
gauss reduction method,روش کاهش گاوس
gauss sum,مجموع گاوس
gauss theorem,قضیه گاوس ، قضیه ی گوس 
gauss type quadrature,تعیین مساحت زیرمنحنی به روش گوس
Gauss-Chebyshev method,روش گاوس چبیشف
gauss-helmert model,مدل گاوس-هلمر
gaussian,گوسی
gaussian algorithm,الگوریتم گاوسی
gaussian curvature,انحنای گاوسی ، خمیدگی گوسی ، خمیدگی گاوسی ، خمیدگی کلی 
gaussian distribution,توزیع گاوسی ، توزیع گوسین ، توزیع گوسی ، پخش گاوسی ، توزیع گاوس ، توز ... 
gaussian elimination,روش حذف گوسی
gaussian elimination algorithm,الگوریتم حذف گاوسی
gaussian elimination method,روش حذفی گاوس ، روش حذف گاوسی 
gaussian fourier coefficients,ضرائب عمومی فوریه
gaussian integer,عدد صحیح گاوسی ، عدد های گاوسی 
gaussian integers,عدد های صحیح گاوسی
gaussian jordan process,فرایند گوس ژردان ، روند گوس ژوردان 
gaussian plane,صفحه ی گاوسی ، صفحه ی گوسی 
gaussian probability density function,تابع چگالی احتمال گاوسی
gaussian process,فرایند گاوسی ، فرایند گوسی ، روند گوسی 
gaussian reduction,کاهش گاوسی ، تقلیل گاوسی ، تقلیل گاوسین ، کاهش گاوسین 
gaussian reduction matrix,ماتریس کاهشی گوسی
gaussian sum,مجموع گوسی
gaussian triangularization,مثلثی گاوسی
gauss-jordan elimination,حذف گاوس-ژوردان
gauss-markov theorem,قضیه گاوس-مارکوف
atomization,گردسازی ، افشانش 
attach,متصل کردن ، متصل شدن ، ضمیمه کردن 
attach to,متصل به ، بسته نشده باشد 
attached to,متصل به ، وابسته 
attachment,دستگاه الحاقی ، ملحقات ، توقیف ، حکم ضبط ، الحاق ، حکم توقیف ، ضمیمه 
attain,رسیدن ، نائل شدن ، بدست آوردن 
attenuation,تظریف ، نازک ، رقیق ، تلطیف 
attenuator,کاهشگر ، تضعیف کننده ، رقیق کننده 
attitude,ایستار ، وضع 
attract,جذب کردن ، ربودن ، کشیده شدن 
attraction,جذب ، ربایش ، جاذبه 
attractive,کششی ، ربایشی ، جاذب ، ربایش 
attractive potential,پتانسیل رباینده ، پتانسیل جاذب 
attribute,نسبت‌دادن ، استناد کردن ؛ صفت کیفی(آمار) ، صفت ، توصیف ، وصف ، محمول 
attribute characteristic,مشخصه ی وصفی
attribute sampling plan,طرح نمونه گیری وصفی
attributes inspection,بازرسی وصفی
auction,به مزایده گذاشتن ، مزایده ، حراج کردن ، حراج 
audit,ارزشیابی ، حسابرس ، ممیزی حساب ، رسیدگی ، رسیدگی به حساب ها ، ممیزی ، ... 
audit of decisions,ممیزی تصمیمات
auditing,حسابرسی
augend,مضافٌ الیه کمیتی که کمیتی دیگر به آن افزوده می شود
augment,زیاد شدن ، زیاد کردن ، علاوه شدن ، افزودن 
augmentation,اضافه ، افزایش 
augmentation of an algebra,افزایش یک جبر
augmented,افزوده ، افزوده شده ، فزوده 
augmented algebra,جبر فزوده
augmented histogram,نمودار آله ای افزوده
augmented matrix,ماتریس افزوده ، ماتریس زاید ، ماتریس بزرگ‌شده ، ماتریس فزونی ، ماتریس ... 
augmented set,مجموعه ی افزوده شده
augmented solution,جواب گسترده
augmenting path,مسیر افزوده
augustin lovis cauchy,آگوستین لویی کوشی ریاضیدان فرانسوی ( 1857 1789 )  در زمینه انتشار امو ... 
augustus de morgan,اوگاستس دمورگان : دانشمند ریاضیات او دو قانون معروف به نام خودش دارد  ... 
authenticity,درستی ، اعتبار ، صحت ، سندیت 
auto correlation,همبستگی خودکار ، خودهمبستگی ، خود رابط 
auto regression,خودهمگرایی
auto tempering,بازگشت خود به خود
autocode,خودرمز
autoconjugate,مزدوج با خود ، خودهمیوغ 
autoconjugte,مزدوج با خود ، خود همیوغ 
autocorrelation,خودهمبستگی در یک سری زمانی ، رابطه بین مقادیر یک متغیّر که در زمان‌ها ... 
autocorrelation function,تابع خودهمبستگی
autocovariance,اتو کوواریانس (سری زمانی) ، اتوکواریانس (سری زمانی) 
autofunction,تابع خاص
automata,ماشین های خودکار
automata theory,نظریه اتوماتونها ، نظریه ماشینهای خودکار نظریه ای درباره مدلهایی که ب ... 
automated gaging,اندازه گیری اتوماتیک
automated inspection,بازرسی اتوماتیک
automatic,خودکار ، اتوماتیک ، اتومات 
automatic assembly,مونتاژ خودکار
automatic check,وارسی خودکار ، مقابله ی خودکار 
automatic coder system,سیستم سفارش اتوماتیک
automatic computer,کامپیوتر خودکار
automatic control,کنترل خودکار
automatic interaction detection technique,فن خودکار آشکارسازی اثر مقابل ، فن خودکار آشکارسازی اثر متقابل 
automatic wokhead,کله گی خودکار
automatically,خود به خود
automation,خودکاری ، ماشین خودکار ، خودکار سازی ، اتوماسیون 
automorph,خودسان
automorphic,خودریخت ، اتومرف ، همشکل ، خوسانی ، خودشکل ، خودسانی ، هم شکل ، خوددی ... 
automorphic function,تابع خودسانی ، تابع خودریخت 
automorphism,خود ریختی ، اتومرفیسم ، همشکلی ، خوسانی ، خوددیسگی ، خودشکلی خودریختی ... 
automorphism identity,اتحاد خودسانی
radioactive fall out,تجزیه ی رادیواکیتو
radioactive tracer,ردیاب رادیواکتیو
radiocarbon,رادیوکربن
radiocarbon dating,تاریخ گذاری رادیوکربن
radius,شعاع ، پرتو ، جیب بزرگتر ، نیم‌قطر ، همه جیب ، اشعه 
radius gage,قوس سنج ، انحنا سنج ، سنجه ی انحناء 
radius of a circle,شعاع دایره
radius of a sphere,شعاع کره
radius of convergence,شعاع همگرایی ، شعاع تقارب 
radius of convergence of a power series,شعاع همگرایی سری توانی
radius of curvature,شعاع انحنا ، شعاع خمیدگی ، شعاع انحناء ، شعاع چرخش ، شعاع ژیراسیون 
radius of gyration,شعاع ژیراسیون ، شعاع گردش ، شعاع چرخش 
radius of torsion,شعاع تاب ، شعاع پیچش (منحنی فضایی) 
radius of torsion of a space curve,شعاع پیچش یک منحنی فضایی
radius vector,بُردار شعاعی ، شعاع حامل ، شعاع بردار 
radix,پایه(شمارش) ؛ مبنا(شمارش ، لگاریتم) ، پایه ، ریشه ، پایگاه دستگاه عدد ... 
radix point,ممیّز ، ممیز 
radon measure,اندازه رادون ، اندازه ی رادون 
radon nikodym derivative,مشتق رادون-نیکودیم
radon nikodym theorem,قضیه ی رادون-نیکودیم
radon transformation,تبدیل رادون
radon-nikodym derivative,مشتق رادون-نیکودیم
radon-nikodym theorem,قضیه رادون-نیکودیم
rae of cooling,درجه ی تبرید
rai and van ryzin dose-response model,مدل دُز-پاسخ رای و وان رایزین
railroad car,واگن ریلی
raise,افزایش دادن ، بالا بردن ، به توان رسیدن ، ترفیع ، رساندن ، بلند کردن  ... 
raise a number to power,به توان رساندن
raising a number to a power,عددی را به توان رساندن
rake angle,زاویه ی گام مته ، زاویه ی تراش 
raked (adjusted) kappa,کاپای چنگک‌زده (تعدیل شده)
raker set,چپ و راست دو در میان
raking procedure,شیوه چنگک‌زنی
ram travel,کورس ضربه زدن
ramanujan conjecture,حدس رامانوجان
ramanujan graph,گراف رامانوجان 0
ramification,انشعاب
ramification index,شاخص انشعاب
ramification point,نقطه ی انشعاب
ramified element,عنصر منشعب
ramp,نرده ، ‌ شیب ، راهرو شیبدار 
ramsey's prior,پیشین رمزی
random,تصادفی ، اتّفاقی ، بختی ، اتفاقی ، تصادف ، پیشامد ، بی نظم ، بی ترتیب 
random access memory,حافظه با دسترسی اتفاقی ، حافظه با دسترسی درهم ، حافظه با دسترسی بی تر ... 
random aspects,جنبه های تصادفی
random balance design,طرح متعادل تصادفی
random causes of variation,علل تصادفی تغییرات
random censoring,سانسور تصادفی
random coefficient regression,رگرسیون با ضریب تصادفی
random current,جریان تصادفی
random determinant,دترمینان تصادفی
random digit,رقم تصادفی
random digits table,جدول اعداد تصادفی
random distribution,توزیع تصادفی
random draw,قرعه‌کشی
random effects model,مدل با اثرهای تصادفی
random error,خطای تصادفی ، اشتباه تصادفی ، خطای اتفاقی 
random event,حادثه‌ی تصادفی ، پیشامد تصادفی ، پیشامد اندازه پذیر 
random experiment,آزمایش تصادفی
random field,میدان تصادفی
random function,تابع تصادفی
random generator,مولد تصادفی
random graph,گراف تصادفی
random manner,روش تصادفی
instance,نمونه
instance of a formula,نمونه فرمول
instant,دم ، لحظه ، آن 
instantaneous,آنی ، لحظه ای 
instantaneous axis,محور لحظه ای
instantaneous failure rate,میزان شکست آنی
instantaneous mean,میانگین لحظه ای
instantaneous rate,نسبت لحظه ای ، سرعت لحظه ای 
instantaneous rate of change,میزان آنی تغییر ، سرعت لحظه ای تغییر ، میزان لحظه ای تغییر 
instantaneous value,مقدار لحظه ای
instantaneous velocity,سرعت لحظه ای
instead,بجای
instead of,بجای ، در عوض 
Institute for the Intellectual Development of Children and Young Adults,کانون پرورش فکری کودکان و نوجوانان
instruction,آموزش ، دستورالعمل ، دستور ، تعلیم ، راهنما ، یاددهی ، تدریس 
instructive,چیز یاد دهنده ، عبرت آمیز ، آگاهی دهنده 
instrument,راهنمای علائم ، وسیله ی پرداخت ، وسیله ، سند ، ابزار ، سنجه ، آلت 
instrumental variable,متغیّر ابزاری
instrumental variable estimation,برآورد با متغیّر ابزاری
insufficient estimate,براورد غیر کافی
insulate,جدا کردن ، مجزا کردن 
insulation,جداسازی
insurance,بیمه ، بیمه / کلمات مرتبط life insurance actuarial statistics actuary 
insurance certificate,بیمه نامه
insurance expense,هزینه ی بیمه
insurance premium,حق بیمه
intake stroke,ضربه مکش
intangible asset,دارایی غیر ملموس ، دارایی غیر مشهود ، دارایی غیر مادی ، دارایی غیر عی ... 
intangible fixed asset,دارایی ثابت غیر مشهود
intedependence,ارتباط متقابل ، وابستگی درونی 
integer,عدد صحیح ، عدد درست 
integer modulo m,اعداد صحیح به پیمانه ی m
integer modulu,پیمانه ی صحیح
integer monic,تکین صحیح
integer multiplies of x,مضرب های صحیح x
integer number,تاریخچه اعدادصحیح ریاضیات یونانی با اعداد منفی آشنا نیست ، اما اولین  ... 
integer part,قسمت صحیح
integer power,توان عدد صحیح
integer programming,برنامه‌ریزی با اعداد صحیح ، برنامه ریزی اعداد صحیح ، برنامه ریزی عدد  ... 
integer programming problem,مسأله ی برنامه ریزی صحیح
integer root,ریشه ی صحیح
integer variable,متغیر صحیح
integeral domain,حوزه‌ی صحیح
integers modulo p,اعداد صحیح به سنج p ، اعداد درست به سنج p 
integrability,انتگرال پذیری
integrability condition,شرط انتگرال پذیری
integrability of continuous function,انتگرالپذیری تابع پیوسته
integrable,انتگرال پذیر
integrable differential equation,معادله ی دیفرانسیل انتگرال پذیر
integrable function,تابع انتگرال پذیر
integraing factor,عامل انتگرال گیری ، عامل انتگرال ساز ، فاکتور انتگرال 
integral,انتگرال ، صحیح ، تغییر متغیر در انتگرال ریمان-استیلجس ، کامل ، تام ،  ... 
integral asymptotic formula of de moivre laplace,فرمول مجانبی انتگرال دوموآور-لاپلاس
integral by parts,انتگرال جزء به جزء
integral calculus,حساب انتگرال ، حساب جامع ، حساب جامعه 
integral chain,r-زنجیر صحیح
integral closure,بستار صحیح
integral coefficient,ضریب صحیح
integral cosine,کسینوس انتگرال
integral curvature,خمیدگی انتگرالی ، خمیدگی گاوسی کل 
integral curve,خم جامعه ، منحنی انتگرال 
integral curves,خم های انتگرال
integral depending on a parameter,انتگرال وابسته به یک پارامتر
integral derivative rule,قاعده ی مشتق انتگرال
mixed line,خط مختلط
mixed model,مدل آمیخته
mixed moment,گشتاور آمیخته ، گشتاور مختلط 
mixed number,عدد کسری ، عدد آمیخته 
mixed partial derivative,مشتق جزئی مخلوط ، مشتق پاره ای آمیخته ، مشتق جزئی آمیخته 
mixed partial derivatives of the second order,مشتقات جزئی مخلوط مرتبه ی دوم
mixed periodic,متناوب مرکب
mixed periodic fraction,کسر متناوب مرکب
mixed poisson process,فرایند پواسون آمیخته
mixed product,حاصل ضرب مختلط سه بردار ، محصول ترکیبی ، محصول مختلط 
mixed radix number,عدد آمیخته-پایه ، عدد آمیخته-مبنا 
mixed recurrent,متناوب مرکب
mixed recurrent fraction,کسر متناوب مرکب
mixed recurring,متناوب مرکب
mixed recurring continued fraction,کسر مسلسل بازگشتی آمیخته
mixed sample,نمونه مختلط
mixed sampling,نمونه گیری آمیخته
mixed strategy,استراتژی آمیخته
mixed system,نظام آمیخته
mixed tensor,تانسور آمیخته
mix-efficiency,کارایی ترکیبی
mixer,مخلوط کننده ، مخلوط کن ، به هم زن 
mixer chamber,محفظه ی اختلاط
mixing,1  آمیزنده 2  آمیختن
mixture,آمیخته ، اختلاط ، ترکیب ، آمیزه ، مخلوط 
mixture distribution,توزیع آمیخته
mixture experiment,آزمایش آمیخته ، آزمایش مخلوط 
mixture method,روش آمیخته
mizutani distribution,توزیع میزوتانی
mle,maximum likelihood estimate روش درستنمایی(راستنمایی) ماکزیمم
mlr,monotone likelihood ratio نسبت درستنمایی یکنوا
mnemonic,نماد ساده
mobile,جسم متحرک ، پویا ، متحرک 
mobile cathode,کاتد متحرک ، کاتد جنبشی 
mobility,پویایی ، تحرک 
mobius band,نوار موبیوس
mobius function,تابع موبیوس
mobius geometry,هندسه ی موبیوس
mobius strip,نوار موبیوس
mobius transformation,تبدیل موبیوس
mod,باقیمانده ، مانده 
mod p quadratic residue,باقیمانده ی درجه ی دوم با کالبد p
modal block algorithm,الگوریتم بلوکی‌مُدی
modal logic,منطق موجه
modal proposition,قضیه ی موجه
modal sentence,گزاره ی موجه
modality,جهت
